komentar,label
liat sahroni ingat ( heeeeehaaa' )ðŸ˜‚,0
ðŸ‘ðŸ‘ðŸ‘alhamdulillah smoga bisa mmbuka mata bgi merka ni kmi mmilih bukn mnjdi orng Bodh tpi lebih pintarðŸ‘,1
Nafa Urbach gk bersalah dia cuma ngasih tau informasi tunjangan rumah TDK ada merendahkan rakyat kayak yg lainnya,1
Podcast bisa tapi konferensi pers buat minta maaf gabisa ya pakðŸ™,0
Sampe sekarang saya ga tau ketum federasi brazil wlopun juara pildun berkali kali,1
"Karakter pemimpin juga perlu dibentuk. Misal jangan egois, tidak anti-kritik, dan mengakui kesalahan.",1
Cinta tanah air sama pura pura mau jadi pahlawan ituu beda ga sih pa? (Bertanya dengan penuh keikhlasan) ðŸ¤£,0
BACOT TOWEL,0
Berisik,0
Halahhhh ngibull,0
Sekarang denger erik pidato telinga tersiksa,0
Pak gimana tuntutan supporter apa kabar,1
Kalau di suruh ngomong pinter. Ngambil keputusan 0 besar,0
Terlalu banyak kata2 hasil merusakan,0
Harus berani legowo dan mental ksatria ðŸ™Œ,1
Lelaki tidak banyak bercerita. Lelaki itu yg di pegang omongan nya.,1
Harus berani ngundurkan diri ya pak,1
Harus berani bertanggung jawab atas ucapan juga,1
Teori bullshit,0
Luar biasa,1
Harus berani bertanggung jawab dan minta maaf kepada rakyat,1
Bacooot,0
Hidup itu tidak harus tenar tp bagaimana kerja nyata kita itu bisa di lihat baik oleh rakyat....tp sayang kamu cuma ingin mencari ketenaran dari pada kebanggaan,0
"iya perubahan, contoh nya kayak kemarin kan yahh udah bagus timnas udah naik dirubah biar lebih buruk ga boleh bagus bagud timnas indo yah erik",0
"Semangat Pak, Netizen dan para FOMO yg bersuara sumbang gak mewakili masyarakat yg mengapresiasi kinerja Bapak! Gak tahu mungkin suruhan orang internal PSSI yg ngebet gantikan BAPAK! tetap tegar dan kita Songsong hari2 baik olahraga dan sepakbola nasional ke depan!",1
"Terimakasih Pak, salut anda sangat gentleman",1
Indonesia negara besar pak,1
"Belajar tidak nyinyir ke orang lain ataupun TIMNAS dll, belajar Menghargai, tunjukkan PRESTASIMU",1
Perubahanmu menghancurkan mimpi itu,0
Banyak yang udah gak peduli omongan mu pak kecuali anak buah mu sendiri ðŸ™Œ,0
LUCU LAMA LAMA,0
Di kasih princess malah pilih ikan teri,0
Produk kendal apa produk gagal,0
"gatau ya sejauh ini mata memandang dan menurutku juga, kenapa yg jadi selingkuhan selalu ga lebih cakep dr istri sah si ",0
bener kata orang-orang kalau istri sah lebih cantik dari pada selingkuhanya,1
"dilan mangap aja cantik , lah ini?",0
udah di bilang kemarin kebanyakan pakai filter kok ngga percaya,0
selayaknya tkw pada umumnyaðŸ˜­ðŸ™,0
bagaikan langit dan bumi ,1
keren banget jadi bang safnoviart,1
"Jika kau tak bisa menghargai perempuan, setidaknya belajarlah menghargai dirimu sendiri.",1
jago bgt aktingnyaðŸ¤£,0
katakan pretttttttttt,1
BLACKLIST KAMPUS UDAYANA,0
Markas perundungan,0
banyak para pembullyan di sini ya,0
"amit-amit masuk ke univ ini,takut dibully",0
kampus macam apa ini,0
air mata buaya,0
udah gimmick nya??,0
dibayar berapa sampe nangis gitu,0
kepalsuan yg nyata ngurus mahasiswa aja masih tolol,0
kok cara rias dan gaya nya seperti pekerja malam ya nih cewek2 nya,0
"kita disuruh ngirimin sedih, dia nya sibuk pacaran nyamperin laki2",1
Biarin ajaasi orang lagi birahii juga,0
"Yakali umur masih muda, bisnis women, suruh ngikutin maunya netizen suruh singel seumur hidup itu lama..jadi pastikan bahagia no 1, kalau dengan punya pasangan buat diri sama anaknya bahagia kenapa nggak , masa lalu tetap ada di tempat khusus di hatinyaâ¤ï¸",1
Mama kamari cantik banget,1
"kocak bgt komenya anjir, tim baca komen ajah ðŸ˜­ðŸ™‹",1
Aura Ladies Club nya kuatðŸ˜‚,0
Akhirnya satu Indonesia sadar ada yang ga beres sama ni orang,0
sok cakep lu aslinya mah tulang semua tuh badannyaðŸ˜›ðŸ˜ƒ,0
"Apa gue doang kali ya , yang gak suka sama ini orang..",0
netizen kenapa deh ngurusin hidup orang mulu,1
orang nolong kok disindir,1
Ketek nya kok gitu kaya nenek-nenek keriput,0
Awas hamil lagi,0
"siklus netijen, idup ngurusin orang mulu padahl idup nya sendiri berantakan ðŸ˜¢",1
ntah lah ga respect.,0
"Emg kenapa si, org juga butuh pendamping hidup lagi, netizen gatau apa2 mending diem, mau gimn pun juga mamari berhak bahagia, gausah urusin hidup org lainðŸ˜’",1
cakeppp polllll mamariii,1
cantikk bgtt ni oranggðŸ¥°ðŸ¥°,1
"Komennya jahat2 amat para ahli neraka, sibuk amat urusin hidup orng.",1
"Ngeri ya komen"" Org sempurna ðŸ˜µ",1
"secantik inii masih aja di hujat, heran ya. dia juga manusia, pantas bahagia ga harus selalu terpuruk dari kesedihan",1
"Netizen ngapain sih, terlalu ngurusi hidup orang. Namanya jg manusia tempatnya lupa, salah, dan dosa. Dia punya hak dan tanggung jwab atas dirinya sendiri. Kalo ga suka ya udah, diunfollow aja, ga usah kepo2 dah hm",1
"yang gapernah hujatt orang lain, mending urusin hidup sendiri ðŸ™Œ",1
Buset cantik banget,1
"Jangan ngata ngatain, doain aja yg terbaik buat Jen.",1
"kaaaa kamu selalu canciiii,keep going babeâ¤ï¸",1
Apasih cakep amatðŸ”¥,1
"guys plis lah, knpa yg hate comment malah yang sesama perempuan ðŸ™ðŸ’”",1
Cantik sangat ðŸ˜ðŸ”¥ðŸ”¥,1
Iiiii cantik banget mamariiiiiðŸ˜­,1
"Netijen kok pada sibuk banget sih sama hidup orang,apa udah bagus yah hidup nya udah rapi?",1
"You deserve to be happy, Jen ðŸ¥º",1
semangat ka jennnnâ¤ï¸ðŸ™Œ,1
Idih idih idih pakaian nya kurang bahan mbak.,0
CANTIK BANGETTTTâ¤ï¸,1
Mamari aku pngen langsing kaya kamu ðŸ¥°,1
Semangat mama riii ðŸ˜ðŸ”¥,1
ALAYY BGT,0
cantik juga,1
CANTIK BGTTTT GILEEEEE,1
"Ternyata bener adab sama etika ketika berbicara/berkomentar tentang orang tuh udah ga dipake,makin rendah aja jadi manusia ðŸ¤",1
reza rahadian : TAU KAN KENAPA GUE MULU,1
ariel tatum : harus nyapu gmna lg gueðŸ˜©,1
MUKA SEIRENGGG itu jadi pemeran ahn hyo seop,0
2 manusia terlihat panikðŸ˜­ðŸ˜­ðŸ˜­,1
ariel tatum sampe nunduk,1
Tebak isi pikiran ariel tatum ðŸ˜­,1
"""gabakal gue undang juga""
GAKAN GUE TONTON JUGAðŸ˜­ðŸ«µ",0
ariel tatum : anj anjjj kelompok gua ga ada yang bener,1
"baca komen aktif, ngeriset males",0
itu si ariel tatum udah nahan tantrumðŸ˜­ðŸ™,1
Caitlin sm ariel udh waswas bgtðŸ˜­ðŸ™ðŸ»,1
ABIDZAR lo remake film JODHA AKBAR aja pemeran cewe nya lina mukherjee,0
ariel tatum hebat bgt nahan ga nempeleng si abizar jirðŸ˜­ðŸ«µ,0
anjir dark bgt abidzar,0
"Udh ga riset, pede lagi. Heran udh dikritik bukannya introspeksi malah sok i dont give a fuck  ewðŸ™„ belum jadi apa apa aja udah se arogan ini gimana nanti",0
muka se kusem itu di kasih untuk jadi ahn hye seopðŸ˜­,0
busettttt omongan nya dah kayak aktor terkenal satu dunia.,0
"""ga bakal diundang jg"" tapi kan kalian ttp butuh penonton woy lahðŸ˜­ðŸ˜­ðŸ˜­",0
abizarrrr foto lu noh di twitter masih adaa ðŸ˜­ðŸ˜­ðŸ˜­,0
gayamu rengðŸ˜­,0
ariel : ga pernah se muak ini,0
kesabaran ariel tatum diuji bangetðŸ˜‚ðŸ˜‚ðŸ˜‚,0
JELEK BGTTT PUBLIC SPEAKINGNYA BENER BENER JELEKKKK PLEASSSS LO TUH DIBAYAR PH BUAT MAIN FILM TAPI KENAPA BLUNDER MULU SEOLAH-OLAH LO GA PERLU PENONTON. BODOH BANGETTT ðŸ˜­ðŸ˜­ðŸ˜­,0
aura prindavan,1
"â€œpengen belajar sama karakter iniâ€ TAPI LO GA NONTON SERIAL NYA ABIDZAR, GIMANA LO MAU BELAJAR SAMA KARAKTER INI?!",1
"itu cewek2nya langsung eye contact gtu wkwkw, sekali lirik tukar pikiran saking gumohnya merekaðŸ˜­ðŸ˜­ðŸ˜­",1
ariel sampe gelisahðŸ˜­,1
HE SAID DENGAN LANTANG : TIDAK BACA WEBTOON AND TIDAK NONTON DRAMANYAA,1
ahn hyoseop kuuu kang taemoo kuuu yg shining shimmering splendid ganteng gagah paripurna sempurna itu remakeannya se maghrib ini???? seriuss??ðŸ˜­ðŸ˜­,0
tiap hari ada aja gebrakannya si abidzar ðŸ¤£,1
tatapan ariel ke caitlin udah wanti wanti waktu abidzar ngomong ðŸ˜­,1
gua liat ada sosok hitam pekat dibelakang ariel tatumðŸ˜­,0
Abidzar gaada aura konglomerat tpi bisa dpet peran kang tae moo tuh gimanaðŸ˜­,0
eh dia ga punya manager yang ngontrol dia kah?,1
abidzar harusnya remake mahabarata,1
â€œga diundang premierâ€ la pikirmu ra butuh penonton a reng? ðŸ˜­ðŸ™ðŸ»,0
kalo knetz nonton gmn ya? wkwk,1
MUKA ARIEL TATUM ðŸ˜­ðŸ«µðŸ»,1
"""pgn belajar sama karakter ini"" tp mau buat versi sendiri lah begimnaðŸ˜­ðŸ™",1
gosong amat mukanyaðŸ˜­,0
