comment,sentiment
"pertamina : ""lah anying kan lu yg nyuruh dan bikin aturan njir, ngapain malah lu nyalahin gw"" ðŸ™„",1
"kenapa bisa jadi menteri ya tu orang, heran gua",-1
"Di terminal nggak sengaja Nemu emas 100 kilo kali, makanya bisa beli jabatan Ketum Golkar.",-1
nepotisme kali kak ðŸ˜­ kan titipan golkar,-1
"mlah cuci tgn njirr,lil lilðŸ¤£",1
lagi main pahlawan pahlawanan bangðŸ˜‚ðŸ˜‚ðŸ˜‚,-1
"namanya juga boss. ngasih perintah, dilaksanakan, ktika ada jeleknya bawahn yg disalahkn.",-1
"dia nyuruh buat 2027,makanya dengar sampe akhir, skarang ethanol blum di campur tu sama pertalite nya",1
KEMBALIKAN SHELL DAN PERMUDAH SHELL BUKA CABANG DI SELURUH INDONESIA!!!!!!,1
"pemerintah ga akan mempermudah pesaingnya bg,kalau shell atau yg lain makin banyak,otomatis pertamanya akan kalah saing",1
berkat Bahlil bengkel gw jadi rame ðŸ˜,1
bengkel lu rame dompet orang orang yang sepiðŸ—¿,1
kdng ke sialan dan kesusahanmu menjadi sumber rejeki untuk orang lain. itulah nmany ujian. ttp berbaik sangka apapun keadaany,1
kan lu yang salah ngasib aturan etanol 10% njir.. ini motor gw habis servis gegera brebet abis 145 njir,-1
lhaa iyaa mbak... gitu kok masih menjabattt yaaðŸ˜­ðŸ˜­ðŸ˜­ banyak korban e yg motor rusak habis ratusan ribu sampai jutaan lhooðŸ˜­ðŸ˜­ðŸ˜­,-1
"lhaa iyaa kenapa masih di pertahankan Mentri kyk gitu , dan Pertamina yg korup GK di bubarkan",-1
malah nyalahin Pertamina kocak ðŸ˜…,1
tangkap aja copot jabatannya,-1
Bahlil Bahlul beda tipis,-1
"gara gara sering liat meme Bahlil,gua setiap liat muka Bahlil ketawa muluðŸ˜‚ðŸ˜‚ðŸ˜­ðŸ˜­",1
"Gak ada beda nya sih kak, BAHLIL SAMA DENGAN BAHLUL . Artinya GU0BLOKK",-1
"keknya dulu nama aslinya bahlul, cuma waktu penulisan di akta kelahiran si petugasnya typo jadinya ditulis bahlil, nah karna udah males ngurus pembetulan jadinya dibiarin aja deh namanya jadi bahlil",-1
Bahlil emang dongo yahhðŸ¥°,-1
lah ini udah jelek t0lol lagi,-1
"nah ini nih, Bru aj mo bilang wkwkwk",1
perokok berat mas makanya hitam sangatðŸ˜‚,-1
"jelek,tolol,bego,hidup lagiðŸ˜‚",-1
rasis lu anj kek udh pada sempurna aja lu padahal tuhan telah menciptakan manusia dengan kekurangan dan kelebihan,1
"masalahnya dia sudah diciptakan kekurangan, malah sifatnya kek binatang ngak membantu masyarakat",-1
"masalah nya si Bahlil ini udh di kasih kekurangan malah di kurang""ngin",-1
SDM rendah nyusahin rakyatðŸ˜‚ kalau pinter ngomong doang adek gw juga bisaðŸ˜‚,-1
emang kelebihannya Bahlil apa gw tanya? penasaran gw,1
tapi kalo ini kekurangan semua ga ada kelebihan,-1
"Kalo soal ini,gw dukung kalo Bahlil lebih ganteng dari henry cavill",1
emang dia cerdas?ðŸ—¿,-1
dia kalo gaa cerdas gaa bakal masuk partai dek dek,1
kata siapa masuk perusahaan aja pake orang dalem apalagi masuk partaiðŸ¤£,1
"kek tetangga whooppðŸ”¥, gua lamar sana sni ga dptÂ², tetangga gua tinggal blg doang, interview formalitasðŸ”¥ðŸ”¥ðŸ”¥",-1
"tapi itu butuh kecerdasan,bicara membaca suasa,klk dia GK pinter mna bisa masuk walupun pakai orang dalam itu butuh kecerdasan jg",1
"pinter membodohi rakyat?... faktanya dilapangan gd uang sama orang dalem meskipun lu pinter gk bakal guna, orang nilai aja bisa di beli kocakÂ² jgn samakan logika sekolahmu dgn dunia luar bergaul bro dunia luar kejam gk sebagus expetasimuðŸ¤£ðŸ¤£",-1
UDAH JELEK GOBLOK LAGI,-1
otak nya di kontol,-1
Tenangin diri sekarangðŸ˜­,1
bahlil ini punya kelebihan yang cukup menarik apapun fotonya di crop dikit bisa jadi meme,1
liat mukanya mau muntah ðŸ˜‚,-1
masa iyaa papa emil mau sama modelan bgini ngakak guaaa ðŸ˜­,-1
kata aku mah mundur aja liiiss..perbaiki diri upgrade diri. masa lalu lupain ajaaa. kebenaran tu akam terungkap seiring berjalannya waktu.,1
"betul ih bnyak yg singel mom malah sukses2 aja, padahal dia udah mulai di sukai netizen eh malah berulah lagi",1
maaf aku malah salfok hidungnya hee,-1
makanya jangan rekam di otak kakðŸ˜­ðŸ™,-1
itu idungnya belok kanan ya,-1
hidungnya lisaa plisss ðŸ˜­ðŸ˜­ðŸ˜­ðŸ˜­ðŸ˜­ðŸ˜­,-1
bisa aja hasil dna nya dipalsuin wkwk jaman skrng kalo punya duit apa aja bisa dipalsuin kanðŸ˜‚,1
bedak 7 lapis ðŸ˜­,-1
gak kelar2 kasus ini,1
aku malah kasihan SM anaknya klo lihat beritaÂ² ini nanti,1
alis nya ko bisa bagus bgt gt anjirrrr,1
dia nangis knp aku juga ikut tidak nangis ðŸ˜‚ apakah aku harus pura2 nangis ðŸ˜‚,1
hidung sama mulutnya,-1
alaaaaa anak d luar Nika ko ngotot banget,-1
Halunya ga kelar2,-1
kenapa idungnya manggil manggil minta ditanya si ðŸ˜­,-1
Gemes banget sama hidungnya ðŸ˜Œ,-1
"yaudasi gausah kemana2 toh itu salahnya sendiri kenapa mauuu, dan kalaupun emang anaknya toh juga gabisa dinasabkan ke bapak nyaaa dan juga gaberhak dapat nafkah sesuai hukum agama",1
tidak ada perjanjian tdk ada pernikahan ngotot tes DNA ulang lalu mau ngapain andaikan itu anak RK mau nuntut apa hak yg mana,1
Harus nya cek daftar pengunjung mom siapa aja langganan nyaðŸ«¢,-1
Aktingx bguss,1
anaknya Bram kali (brame-rame)ðŸ˜­,-1
Aku Malah merasa engap denger yg lg ngomong ðŸ˜­ðŸ˜­ðŸ˜­ðŸ˜­,-1
di Konoha nglawan pejabat ya emang susah,1
kaya majikan sm pembantunya wkwkwk,-1
kak hitam bagus tp ga kumel,-1
tan skin engga masalah sama sekali tp ada yg bersih ada yg kurang bersih,-1
"komenn nya kenapa sii yaampunn, kulit orang indo ma emang ginii ih, ngapa pada ngebet putih sii, yg putih aja ada yg pengen tan skin",1
minimal gincuan kak biar agak seger gtu diliatnya,-1
"kenapa sih anjir kalau warna kulitanya gtu, semua nya tetap cantik njir, nggak usah obses sama kulit putih",1
Komen nya nggak bngt njir padahal sesama perempuan,1
circle problemmatic,-1
hahahahhaha itu bukan kayak kulit Erika kalau kulit Erika hitam tapi bagus kalau ini sedikit ya tau lah yaðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚,-1
INI KULIT YG AKU MAUUUUUUUUU,1
MANIS BGTT KAA MASYA ALLAH,1
kak cakep banget aslii,1
"semua wanita cantik dengan warna kulitnya masing-masing,so beautiful ka namira",1
Banyak artis indonesia kulitnya exsotis mulus ðŸ˜Š muka pun mulus,1
cantikkk ngga haruss putihh,1
Kakak cantik gak usah dengar kata netizen ini,1
dia tu kaya kusemm gt ga si bukan tan skin..,1
Masyaallah canciknyaa manisnya itu loh,1
cantikkkk bangetttttt,1
cantikkkk bgt dua dua nyaa,1
Inimah kopi sama susu,-1
chacu cosplay jadi wanita somalia,-1
ga keluar sama sekali auranyaðŸ˜­,-1
Dia lagi hamil ya?(bertanya dengan nadaaa sangat lembuutt),-1
ini serius dia?ðŸ˜­kok kokkkkðŸ˜­cantikan kenzieðŸ˜­,-1
Baru pernah liat orang resepsi seleranya kureng bgt maapðŸ˜­ðŸ™ðŸ»,-1
"LIAT KOMENANNYAAAA MIRIS BGT, KAK CHACHU TUH LAGI NGADAIN ACARA BAHAGIA, SEMUA PASTI SUDAH DIPERSIAPKAN, MLH ADA YG BANDINGÂ²IN, KALIAN TUH SESAMA PEREMPUAN, KLO PAS ACARA SEPERTI INI KALIAN DICEMOOH JUGA KESELKAN, APALAGI INI MOMEN ACARA RESEPSI BELIAUðŸ¥º",1
malah kayak tamu undangan bukan pengantinðŸ˜­,-1
kirain chacu dililit ular weling ðŸ¥ºðŸ™,-1
pdhl body chacu bgus bgttt tpi knpa gaunnya harus ituuðŸ˜­ðŸ˜­ðŸ˜­,-1
 jujur emg ke bude bude,-1
keknya dia ini lagi hamill,-1
serius gini diluar ekpetasiðŸ™‚,-1
"maaf kayaknya hamil ya, aura bumil",-1
"Kurang aksesoris sama model rambutnya sih menurutku, bajunya terlalu ramai buat dia yg gemoy",-1
aura bumil nya kuat bgt ðŸ˜‚ pengalaman tmnku nikah dressnya rame bagian depan bgini karna udh hamil besar.,-1
chacu kayak abang abangan keker bgt,-1
"cakepan bridesmaid nya, maaf aku mewakilin kalian semua ",-1
Kayak mau dangdutan,-1
"aku ga ngehujat plis,tapi keliatan bgt ga nyamannya ðŸ˜­ kasian kak chacu",1
"Aku jdi chacu nangis bgt, jujur emg ke bude bude",-1
"jahat jahat bgt ketikan kalian plis ya allahhhh:(. aku bacanya aja istighfar berkali"":((",1
engga ada tampang sedih dn menyesal. beda sama si logo Dufan. smpe bengkak matanya,-1
"DO, teman saja di bully apalagi pasien bpjs",-1
salut sm yg cepuin isi chat ke mediaðŸ¥°,1
Sempet sempetnya ngalis dulu anj,-1
belum tentu keluarga kak Timothy Anugerah memaafkan muu..,1
"tanpa kita sadari, skrg kita yg menjadi pembully",1
hak apa yang melekat ke kamu kok bisa jadi yang ngasih pelajaran?,1
"asal ngebales bully nya ga senang, ya ttp aja faktanya sama sifat neti nanti kebawa jg ke lingkungan, trs ada masih bnyk tuh nanti pembully kedepannya ga habis""",1
Karena apa dia minta maaf guys ðŸ˜¹,1
rakyat Indonesia dan netizen wajib untuk tidak memaafkan Calista Amore ðŸ¤£ðŸ¤£ðŸ¤£ kawal sampe dia dpt efek jera yg setimpal,-1
LU BACA YA ANJIRðŸ˜­ soalnya gue pernah di tes hapalan gue bikin contekan belakang kamera kek gini hasilnyaðŸ˜­ðŸ™,-1
Full senyum habis wd 55jt bilekkðŸ˜‡ðŸ˜,1
Lah ngapain minta maaf? kan dia gak salah ðŸ˜‚ðŸ˜‚,1
"Blm jadi dokter aja udh gini,gimana udh jadi dokter,gimana nasib pasiennya cobaðŸ—¿",-1
ga ada menyesal2 sii dari raut mukanya,-1
"ini apa, ketinggalan berita guaðŸ˜­ðŸ˜­",1
kasus perundungan di UNUD om,1
"dia cuman baca teks, bukan minta maafðŸ˜",-1
"menyesal karena ketauan..kalau ga ketauan ya lanjut buly..sekarang aja pasti masih ngebully mungkin sama temen"" nya",-1
dia itu cuma sedih dirinya di hujat bukan sedih. akan timoty dia juga menyesal kerena kerena di hujat bukan. kerena menghujat timoty,1
alisnya beda sebelah jir,-1
cantikk bangett semangat kaka ðŸ¥°ðŸ¥°ðŸ¥°,1
"dia klarifikasi karena takut kena bully, gak dapet kerja dan dikeluarkan dari kampus. bukan betulan menyesal",-1
"Dia menangis bukan kerana empati, tapi takut di blaklist dari dunia kedokteran",-1
jgn minta maaf jika km minta maaf karna ketahuan ðŸ˜,-1
mau klarifikasi pun harus dandan dlu. tau bgt kayaknya dia biar g di jadiin bahan candaan wkwkkðŸ¤£,-1
aku kira kuliah itu menjamin moral dan etika.. ternyata ada ya yang begini.. calon dokter lagi.. ðŸ˜­,1
gua yang udah muak dengan namanya klarifikasiðŸ˜‚,1
emang timothy ronald ada masalah apa ya sama cewe ini?,1
Harusnya dibawa ke hukum ini bahwa tindak bully itu gaboleh diremehin apalagi banyak jiwa yang trauma,1
"gw jg manurung, asli malu & marah bget atas sikap bocah tengil bgini",1
"takut sama kekuatan netijen yaa,makanya langsung nongolðŸ˜ðŸ˜‚",1
kalo Timothy jadi dokter pasti lembut tulus bgtt..,1
benar kata orang penyelesaian ada di akhir,1
"nah loh, giliran datanya kesebar baru deh buka mata ðŸ—¿",-1
"yang bully timothy beruntung banget, ayah timothy ga nuntut dihukum lo, smoga tenangg kaka timothyðŸ˜ž",1
"gak papa, nanti ada pengadilan di akhirat guys",1
Alesan mereka apa ya bully timoty? Pdhl beda fakultas loh,1
aku juga korban pembulian gays di kuliah nyampe aku kena anxiety. aku berharap tuhan yg adili semua,1
"udah lah maafin aja, calon dokter cantik nih",1
Gada komen tebak agama soalnya pelaku bukan islam,-1
"minta maaf yg tulus utama kpd orangtua dn kluarga timothy...bukn krna tkut dihujat netizen, situ enak ga dibully bnyk orang??",1
"Manusia tidak akan saling mengerti, jika tidak merasakan penderitaan yang sama, rest in peace timothy.",1
"ini harus dijadikan pelajaran buat smua, sampe saat ini kematian timothy blm jls karna apa. pihak keluarga juga menolak dilakukan penyelidikan dari hp timothy, dan yg tersebar adalah chat para mahasiswa yg minim empati. supaya ga keliru saja tapi kasus ini butuh penyelidikan lbh dalam dan bukti dari hp korban, kita butuh keterbukaan dari pihak keluarga, terutama sdh 3 bln terakhri timothy tinggal ditemani ibunda tidak mungkij ibunya tidak mengetahui apa masalah yg anaknya dapati.",1
"biasanya klo berita2 bgini banyak yg komen â€œtebak agamaâ€, kok kosong ya skrg ?",-1
"perasaan setiap hari buka tiktok ga ngertti ada kasus ini, emg kasus apa ya? (bertanya dgn nada lembut)",1
"Kesalahan terbesarmu adalah kini yg kamu hujat sdh tak bernyawa nak, dan entah bagaimana dgn hati orang tua, keluarga yg telah kamu buat hancur utk seumur hidup.",1
Keluarga manurung kah,1
mana sama lagi marga nya sama gueeðŸ™ðŸ»ðŸ˜­,1
pdhal timothy baik,1
loh kenpa nggak langsung di pecat,-1
"saya yakin Krn mas Uya Kuya orang baik,saya sbg TKW Taiwan,sering melihat,bolak balik Taiwan Indonesia,Hongkong, Indonesia untuk membantu para TKW",1
pecatttt woyyyyy bukan di nonaktifkan astaghfirullah hukum di negara gak dapat di percaya lagi,-1
muka Eko bengek bgtðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£,-1
kek stroke anjir,-1
Iya baner anjir kata gue dikit lagi stroke nih orgðŸ˜‚,-1
"itulah indonesia ..krj cm duduk ,teken ,plng gaji +tunjangan besar ya moh kla mengundurkan diri",1
"Krn mereka ada perjanjian tertulis dgn partai, dan hanya ketua partai yg pecat org2 tsb. MK Indonesia mgkin kerja di bawah tekanan ketua partai",1
"Kalo cuman nonaktif berapa bulan ya gk ada apa2 nya, tabungannya masih banyak",-1
pecat aja pk ....gk guna ngabisin anggaran negara aja .....nnti psti ngulangin lg,-1
idak puas atas putusan ini harusnya mereka non activ selama nya,-1
Nafa urbach brrt bulan depan sdah mulai aktif lg jd dewan.. Untuk Eko awal tahun dn sahroni hbs lebaran...,1
ko kaga joget joget lagi ko ama nafa ama sahroni,-1
anjj.. mata ngantuk sahroni,-1
"ðŸ˜ tdk di pecat, cuma di non aktifkan selama 6 BLN trs bisa ngantor lagi, ini lah hukum Indonesia ðŸ˜‚ðŸ˜",1
hakimnya Menye menyeðŸ˜‚,-1
itu kenapa bibir pak eko,-1
liat sahroni ingat ( heeeeehaaa' )ðŸ˜‚,-1
ðŸ‘ðŸ‘ðŸ‘alhamdulillah smoga bisa mmbuka mata bgi merka ni kmi mmilih bukn mnjdi orng Bodh tpi lebih pintarðŸ‘,1
Nafa Urbach gk bersalah dia cuma ngasih tau informasi tunjangan rumah TDK ada merendahkan rakyat kayak yg lainnya,1
Podcast bisa tapi konferensi pers buat minta maaf gabisa ya pakðŸ™,-1
Sampe sekarang saya ga tau ketum federasi brazil wlopun juara pildun berkali kali,1
"Karakter pemimpin juga perlu dibentuk. Misal jangan egois, tidak anti-kritik, dan mengakui kesalahan.",1
Cinta tanah air sama pura pura mau jadi pahlawan ituu beda ga sih pa? (Bertanya dengan penuh keikhlasan) ðŸ¤£,-1
BACOT TOWEL,-1
Berisik,-1
Halahhhh ngibull,-1
Sekarang denger erik pidato telinga tersiksa,-1
Pak gimana tuntutan supporter apa kabar,1
Kalau di suruh ngomong pinter. Ngambil keputusan 0 besar,-1
Terlalu banyak kata2 hasil merusakan,-1
Harus berani legowo dan mental ksatria ðŸ™Œ,1
Lelaki tidak banyak bercerita. Lelaki itu yg di pegang omongan nya.,1
Harus berani ngundurkan diri ya pak,1
Harus berani bertanggung jawab atas ucapan juga,1
Teori bullshit,-1
Luar biasa,1
Harus berani bertanggung jawab dan minta maaf kepada rakyat,1
Bacooot,-1
Hidup itu tidak harus tenar tp bagaimana kerja nyata kita itu bisa di lihat baik oleh rakyat....tp sayang kamu cuma ingin mencari ketenaran dari pada kebanggaan,-1
"iya perubahan, contoh nya kayak kemarin kan yahh udah bagus timnas udah naik dirubah biar lebih buruk ga boleh bagus bagud timnas indo yah erik",-1
"Semangat Pak, Netizen dan para FOMO yg bersuara sumbang gak mewakili masyarakat yg mengapresiasi kinerja Bapak! Gak tahu mungkin suruhan orang internal PSSI yg ngebet gantikan BAPAK! tetap tegar dan kita Songsong hari2 baik olahraga dan sepakbola nasional ke depan!",1
"Terimakasih Pak, salut anda sangat gentleman",1
Indonesia negara besar pak,1
"Belajar tidak nyinyir ke orang lain ataupun TIMNAS dll, belajar Menghargai, tunjukkan PRESTASIMU",1
Perubahanmu menghancurkan mimpi itu,-1
Banyak yang udah gak peduli omongan mu pak kecuali anak buah mu sendiri ðŸ™Œ,-1
LUCU LAMA LAMA,-1
Di kasih princess malah pilih ikan teri,-1
Produk kendal apa produk gagal,-1
"gatau ya sejauh ini mata memandang dan menurutku juga, kenapa yg jadi selingkuhan selalu ga lebih cakep dr istri sah si ",-1
bener kata orang-orang kalau istri sah lebih cantik dari pada selingkuhanya,1
"dilan mangap aja cantik , lah ini?",-1
udah di bilang kemarin kebanyakan pakai filter kok ngga percaya,-1
selayaknya tkw pada umumnyaðŸ˜­ðŸ™,-1
bagaikan langit dan bumi ,1
keren banget jadi bang safnoviart,1
"Jika kau tak bisa menghargai perempuan, setidaknya belajarlah menghargai dirimu sendiri.",1
jago bgt aktingnyaðŸ¤£,-1
katakan pretttttttttt,1
BLACKLIST KAMPUS UDAYANA,-1
Markas perundungan,-1
banyak para pembullyan di sini ya,-1
"amit-amit masuk ke univ ini,takut dibully",-1
kampus macam apa ini,-1
air mata buaya,-1
udah gimmick nya??,-1
dibayar berapa sampe nangis gitu,-1
kepalsuan yg nyata ngurus mahasiswa aja masih tolol,-1
kok cara rias dan gaya nya seperti pekerja malam ya nih cewek2 nya,-1
"kita disuruh ngirimin sedih, dia nya sibuk pacaran nyamperin laki2",1
Biarin ajaasi orang lagi birahii juga,-1
"Yakali umur masih muda, bisnis women, suruh ngikutin maunya netizen suruh singel seumur hidup itu lama..jadi pastikan bahagia no 1, kalau dengan punya pasangan buat diri sama anaknya bahagia kenapa nggak , masa lalu tetap ada di tempat khusus di hatinyaâ¤ï¸",1
Mama kamari cantik banget,1
"kocak bgt komenya anjir, tim baca komen ajah ðŸ˜­ðŸ™‹",1
Aura Ladies Club nya kuatðŸ˜‚,-1
Akhirnya satu Indonesia sadar ada yang ga beres sama ni orang,-1
sok cakep lu aslinya mah tulang semua tuh badannyaðŸ˜›ðŸ˜ƒ,-1
"Apa gue doang kali ya , yang gak suka sama ini orang..",-1
netizen kenapa deh ngurusin hidup orang mulu,1
orang nolong kok disindir,1
Ketek nya kok gitu kaya nenek-nenek keriput,-1
Awas hamil lagi,-1
"siklus netijen, idup ngurusin orang mulu padahl idup nya sendiri berantakan ðŸ˜¢",1
ntah lah ga respect.,-1
"Emg kenapa si, org juga butuh pendamping hidup lagi, netizen gatau apa2 mending diem, mau gimn pun juga mamari berhak bahagia, gausah urusin hidup org lainðŸ˜’",1
cakeppp polllll mamariii,1
cantikk bgtt ni oranggðŸ¥°ðŸ¥°,1
"Komennya jahat2 amat para ahli neraka, sibuk amat urusin hidup orng.",1
"Ngeri ya komen"" Org sempurna ðŸ˜µ",1
"secantik inii masih aja di hujat, heran ya. dia juga manusia, pantas bahagia ga harus selalu terpuruk dari kesedihan",1
"Netizen ngapain sih, terlalu ngurusi hidup orang. Namanya jg manusia tempatnya lupa, salah, dan dosa. Dia punya hak dan tanggung jwab atas dirinya sendiri. Kalo ga suka ya udah, diunfollow aja, ga usah kepo2 dah hm",1
"yang gapernah hujatt orang lain, mending urusin hidup sendiri ðŸ™Œ",1
Buset cantik banget,1
"Jangan ngata ngatain, doain aja yg terbaik buat Jen.",1
"kaaaa kamu selalu canciiii,keep going babeâ¤ï¸",1
Apasih cakep amatðŸ”¥,1
"guys plis lah, knpa yg hate comment malah yang sesama perempuan ðŸ™ðŸ’”",1
Cantik sangat ðŸ˜ðŸ”¥ðŸ”¥,1
Iiiii cantik banget mamariiiiiðŸ˜­,1
"Netijen kok pada sibuk banget sih sama hidup orang,apa udah bagus yah hidup nya udah rapi?",1
"You deserve to be happy, Jen ðŸ¥º",1
semangat ka jennnnâ¤ï¸ðŸ™Œ,1
Idih idih idih pakaian nya kurang bahan mbak.,-1
CANTIK BANGETTTTâ¤ï¸,1
Mamari aku pngen langsing kaya kamu ðŸ¥°,1
Semangat mama riii ðŸ˜ðŸ”¥,1
ALAYY BGT,-1
cantik juga,1
CANTIK BGTTTT GILEEEEE,1
"Ternyata bener adab sama etika ketika berbicara/berkomentar tentang orang tuh udah ga dipake,makin rendah aja jadi manusia ðŸ¤",1
reza rahadian : TAU KAN KENAPA GUE MULU,1
ariel tatum : harus nyapu gmna lg gueðŸ˜©,1
MUKA SEIRENGGG itu jadi pemeran ahn hyo seop,-1
2 manusia terlihat panikðŸ˜­ðŸ˜­ðŸ˜­,1
ariel tatum sampe nunduk,1
Tebak isi pikiran ariel tatum ðŸ˜­,1
"""gabakal gue undang juga""
GAKAN GUE TONTON JUGAðŸ˜­ðŸ«µ",-1
ariel tatum : anj anjjj kelompok gua ga ada yang bener,1
"baca komen aktif, ngeriset males",-1
itu si ariel tatum udah nahan tantrumðŸ˜­ðŸ™,1
Caitlin sm ariel udh waswas bgtðŸ˜­ðŸ™ðŸ»,1
ABIDZAR lo remake film JODHA AKBAR aja pemeran cewe nya lina mukherjee,-1
ariel tatum hebat bgt nahan ga nempeleng si abizar jirðŸ˜­ðŸ«µ,-1
anjir dark bgt abidzar,-1
"Udh ga riset, pede lagi. Heran udh dikritik bukannya introspeksi malah sok i dont give a fuck  ewðŸ™„ belum jadi apa apa aja udah se arogan ini gimana nanti",-1
muka se kusem itu di kasih untuk jadi ahn hye seopðŸ˜­,-1
busettttt omongan nya dah kayak aktor terkenal satu dunia.,-1
"""ga bakal diundang jg"" tapi kan kalian ttp butuh penonton woy lahðŸ˜­ðŸ˜­ðŸ˜­",-1
abizarrrr foto lu noh di twitter masih adaa ðŸ˜­ðŸ˜­ðŸ˜­,-1
gayamu rengðŸ˜­,-1
ariel : ga pernah se muak ini,-1
kesabaran ariel tatum diuji bangetðŸ˜‚ðŸ˜‚ðŸ˜‚,-1
JELEK BGTTT PUBLIC SPEAKINGNYA BENER BENER JELEKKKK PLEASSSS LO TUH DIBAYAR PH BUAT MAIN FILM TAPI KENAPA BLUNDER MULU SEOLAH-OLAH LO GA PERLU PENONTON. BODOH BANGETTT ðŸ˜­ðŸ˜­ðŸ˜­,-1
aura prindavan,1
"â€œpengen belajar sama karakter iniâ€ TAPI LO GA NONTON SERIAL NYA ABIDZAR, GIMANA LO MAU BELAJAR SAMA KARAKTER INI?!",1
"itu cewek2nya langsung eye contact gtu wkwkw, sekali lirik tukar pikiran saking gumohnya merekaðŸ˜­ðŸ˜­ðŸ˜­",1
ariel sampe gelisahðŸ˜­,1
HE SAID DENGAN LANTANG : TIDAK BACA WEBTOON AND TIDAK NONTON DRAMANYAA,1
ahn hyoseop kuuu kang taemoo kuuu yg shining shimmering splendid ganteng gagah paripurna sempurna itu remakeannya se maghrib ini???? seriuss??ðŸ˜­ðŸ˜­,-1
tiap hari ada aja gebrakannya si abidzar ðŸ¤£,1
tatapan ariel ke caitlin udah wanti wanti waktu abidzar ngomong ðŸ˜­,1
gua liat ada sosok hitam pekat dibelakang ariel tatumðŸ˜­,-1
Abidzar gaada aura konglomerat tpi bisa dpet peran kang tae moo tuh gimanaðŸ˜­,-1
eh dia ga punya manager yang ngontrol dia kah?,1
abidzar harusnya remake mahabarata,1
